id,english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,audio_url,difficulty,cefr_level,toeic_level,frequency,synonyms,antonyms,word_family,collocations,phrasal_verbs,grammar_pattern,common_mistakes,usage_note,topic,mnemonic,mnemonic_type,memory_tip,is_common,stage,created_at,updated_at
,environmental health,noun,sức khỏe môi trường,/ɪnˌvaɪrənˈmentəl helθ/,Lĩnh vực nghiên cứu tác động của môi trường đến sức khỏe con người.,The program focuses on environmental health in urban areas.,Chương trình tập trung vào sức khỏe môi trường tại các khu đô thị.,,,medium,B2,750,common,public environmental health,,"environment, environmental","environmental health program, environmental health risk",,impact on + health,Không hiểu environmental health đơn giản là “sức khỏe của môi trường”; thường nói về ảnh hưởng môi trường đến con người.,Thuật ngữ trong y tế công cộng.,Environment / Healthcare,environmental → environment-related,association,environmental health = sức khỏe môi trường,TRUE,4,,
,environmental impact,noun phrase,tác động môi trường,/ɪnˌvaɪrənˈmentəl ˈɪmpækt/,Ảnh hưởng của hoạt động hoặc sản phẩm đối với môi trường.,The manufacturer is working to reduce its environmental impact.,Nhà sản xuất đang nỗ lực giảm tác động đến môi trường.,,,easy,B1,600,extremely common,ecological impact; environmental effect,,environment; environmental; impact,reduce environmental impact; assess environmental impact,impact on,impact on + environment,Impact có thể là tích cực hoặc tiêu cực; cần nhìn ngữ cảnh.,Environment và Manufacturing.,Environment,impact = effect,association,environmental impact = ảnh hưởng đến môi trường,TRUE,3,,
,environmental indicator,noun,chỉ số môi trường,/ɪnˌvaɪrənˈmentəl ˈɪndɪkeɪtər/,Chỉ số dùng để đo hoặc theo dõi tình trạng môi trường.,The report includes several environmental indicators.,Báo cáo bao gồm một số chỉ số môi trường.,,,hard,C1,850,uncommon,"environmental metric, sustainability indicator",,"indicate, indicator, environmental","environmental indicator, key environmental indicator, environmental performance indicator",indicate,indicator of + environmental condition,"Không nhầm indicator với target; indicator đo/cho biết tình trạng, target là mục tiêu cần đạt.",Dùng trong sustainability reports và compliance.,Environment,indicator = thứ chỉ ra,association,environmental indicator = chỉ số cho biết tình trạng môi trường,TRUE,5,,
,environmental law,noun phrase,luật môi trường,/ɪnˌvaɪərənˈmentəl lɔː/,Các quy định pháp luật liên quan đến bảo vệ môi trường.,The company must comply with environmental law.,Công ty phải tuân thủ luật môi trường.,,,medium,B2,750,common,environmental legislation,,"environment, environmental","environmental law, comply with environmental law",,comply with environmental law,Không dùng comply environmental law; phải có with.,Thường dùng trong pháp lý và doanh nghiệp.,Environment,environmental + law,word_family,environmental law = luật môi trường,TRUE,3,,
,environmental management,noun phrase,quản lý môi trường,/ɪnˌvaɪrənˈmentl ˈmænɪdʒmənt/,Quản lý tác động của hoạt động kinh doanh đến môi trường.,The company introduced an environmental management program.,Công ty đã triển khai một chương trình quản lý môi trường.,,,medium,C1,800,common,environmental control,,"manage, management, environmental","environmental management system, environmental policy, environmental impact",,management of + environmental issues,Không nhầm environmental management với environmental protection trong mọi ngữ cảnh.,Thường gặp trong sản xuất xanh và tuân thủ quy định.,Environment / Manufacturing,manage the environment responsibly,association,Environmental management = quản lý tác động đến môi trường.,TRUE,3,,
,environmental monitoring,noun phrase,giám sát môi trường,/ɪnˌvaɪrənˈmentəl ˈmɑːnɪtərɪŋ/,Việc theo dõi và đo lường các điều kiện môi trường.,Continuous environmental monitoring is required at the site.,Việc giám sát môi trường liên tục được yêu cầu tại địa điểm này.,,,medium,B2,750,common,environmental surveillance,,"environment, environmental, monitor, monitoring","environmental monitoring system, continuous monitoring",,monitoring of + environmental conditions,"Không nhầm monitoring với inspection; monitoring là theo dõi liên tục, inspection thường là kiểm tra tại một thời điểm.",Phổ biến trong quản lý môi trường.,Environment,monitor = theo dõi → environmental monitoring,word_family,environmental monitoring = theo dõi môi trường,TRUE,3,,
,environmental organization,noun,tổ chức môi trường,/ɪnˌvaɪrənˈmentəl ˌɔːrɡənəˈzeɪʃən/,Tổ chức hoạt động nhằm bảo vệ hoặc cải thiện môi trường.,An environmental organization funded the conservation project.,Một tổ chức môi trường đã tài trợ cho dự án bảo tồn.,,,easy,B1,600,common,environmental group,,"organize, organization, environmental","environmental organization, nonprofit organization",,organization + verb,Organization có thể chỉ tổ chức hoặc sự sắp xếp tùy ngữ cảnh.,Thường xuất hiện trong CSR và Environment.,Environment / Business,organization = tổ chức.,association,environmental organization = tổ chức bảo vệ môi trường,TRUE,3,,
,environmental planning,noun phrase,quy hoạch môi trường,/ɪnˌvaɪərənˈmentəl ˈplænɪŋ/,Lập kế hoạch phát triển có tính đến tác động môi trường.,Environmental planning is required for the new development.,Dự án phát triển mới cần có quy hoạch môi trường.,,,medium,B2,750,common,environmental development planning,,"environment, environmental, plan, planning","environmental planning process, environmental planning policy",,planning for + environmental impact,Không nhầm với environmental policy; planning tập trung vào lập kế hoạch.,Thuật ngữ quy hoạch và môi trường.,Environment,environmental + planning,word_family,environmental planning = quy hoạch có xét môi trường,TRUE,4,,
,environmental policy,noun phrase,chính sách môi trường,/ɪnˌvaɪrənˈmentəl ˈpɑːləsi/,Chính sách của tổ chức hoặc chính phủ nhằm bảo vệ môi trường và giảm tác động tiêu cực đến môi trường.,The company introduced a new environmental policy to reduce waste.,Công ty đã đưa ra chính sách môi trường mới để giảm chất thải.,,,medium,B2,700,common,"environmental strategy, green policy",,"environment, environmental, policy","environmental policy, company policy, environmental regulations",,policy on + noun/V-ing,"Không nhầm policy với politics; policy là chính sách, politics là chính trị.","Thường gặp trong Business, Sustainability và Manufacturing.",Business / Environment,environmental + policy = chính sách về môi trường,association,environmental policy = chính sách môi trường,TRUE,3,,
,environmental project,noun,dự án môi trường,/ɪnˌvaɪrənˈmentəl ˈprɑːdʒekt/,"Dự án nhằm bảo vệ, cải thiện hoặc nghiên cứu môi trường.",The company launched an environmental project to reduce plastic waste.,Công ty triển khai một dự án môi trường để giảm rác thải nhựa.,,,easy,B1,600,common,"environmental initiative, green project",,"environment, environmental, project","environmental project plan, environmental project funding",carry out,project to + verb,"Không nhầm environmental project với environmental policy; project là hoạt động cụ thể, policy là chính sách.",Thường gặp trong CSR và sustainability.,Environment,environmental + project,association,environmental project = dự án bảo vệ môi trường,TRUE,3,,
,environmental protection,noun phrase,bảo vệ môi trường,/ɪnˌvaɪrənˈmentl prəˈtekʃən/,Các hoạt động nhằm giảm tác động tiêu cực đến môi trường.,The company invests in environmental protection programs.,Công ty đầu tư vào các chương trình bảo vệ môi trường.,,,medium,B2,700,common,environmental conservation,environmental damage,"environment, environmental, protect, protection","environmental protection measures, environmental protection program, environmental protection law",,environmental protection + measures/programs,"Không nhầm protection với prevention; protection nhấn mạnh bảo vệ khỏi tác hại, prevention nhấn mạnh ngăn điều xảy ra.",Rất phổ biến trong báo cáo doanh nghiệp và chủ đề phát triển bền vững.,Business,protect the environment = bảo vệ môi trường,association,environmental protection = bảo vệ môi trường,TRUE,3,,
,environmental quality,noun,chất lượng môi trường,/ɪnˌvaɪrənˈmentəl ˈkwɒləti/,"Mức độ tốt hoặc xấu của môi trường dựa trên các yếu tố như không khí, nước và đất.",The project aims to improve environmental quality.,Dự án nhằm cải thiện chất lượng môi trường.,,,medium,B2,700,common,environmental condition,environmental degradation,"environment, environmental, quality","environmental quality standards, improve environmental quality",,quality of + environment,"Không nhầm quality với quantity; quality = chất lượng, quantity = số lượng.",Dùng trong môi trường và chính sách.,Environment,quality = chất lượng,contrast,environmental quality = chất lượng môi trường,TRUE,4,,
,environmental regulation,noun phrase,quy định môi trường,/ɪnˌvaɪrənˈmentəl ˌreɡjəˈleɪʃən/,Quy định pháp luật liên quan đến bảo vệ môi trường.,The factory must comply with environmental regulations.,Nhà máy phải tuân thủ các quy định về môi trường.,,,medium,B2,750,extremely common,environmental law,,regulate; regulation; environmental,comply with environmental regulations; environmental regulation,,comply with + regulation,Không nhầm regulation với standard; regulation thường mang tính pháp lý.,Rất phổ biến trong business và manufacturing.,Manufacturing,regulation = rule,word_family,comply with environmental regulations,TRUE,4,,
,environmental reporting,noun phrase,báo cáo môi trường,/ɪnˌvaɪrənˈmentəl rɪˈpɔːrtɪŋ/,Quá trình doanh nghiệp công bố thông tin về tác động và hoạt động môi trường.,Environmental reporting helps companies communicate their sustainability performance.,Báo cáo môi trường giúp các công ty truyền đạt kết quả hoạt động bền vững.,,,hard,C1,850,common,"sustainability reporting, environmental disclosure",,"environment, environmental, report, reporting","environmental reporting, sustainability reporting, environmental report",report on,reporting on + environmental performance,Environmental reporting là một phần của hoạt động công bố thông tin bền vững.,Thường gặp trong Corporate Sustainability.,Environment / Business,report về environment → environmental reporting,word_family,environmental reporting = báo cáo về tác động môi trường,TRUE,5,,
,environmental review,noun,đánh giá môi trường,/ɪnˌvaɪrənˈmentəl rɪˈvjuː/,Quá trình xem xét tác động môi trường của một dự án hoặc hoạt động.,The proposed highway is undergoing an environmental review.,Tuyến đường cao tốc được đề xuất đang trải qua quá trình đánh giá môi trường.,,,medium,B2,750,common,environmental assessment,,"environment, environmental, review","environmental review process, environmental review report",,undergo an environmental review,Không nên dùng review như từ đồng nghĩa tuyệt đối với impact assessment trong mọi ngữ cảnh.,Thường gặp trong dự án xây dựng và quy hoạch.,Environment / Construction,review = xem xét → environmental review.,association,environmental review = xem xét tác động môi trường,TRUE,4,,
